id,name,nationality_code
1,"Paul Newman",
2,"Gao Xingjian",
3,"Robert Baden-Powell, 1st Baron Baden-Powell",
4,"Julia Gillard",
5,"Yoshihide Suga",
6,"Patrice Lumumba",
7,"Melania Trump",
8,"Dan Brown",
9,"Wole Soyinka",
10,"Edwin Hubble",
11,"Eddie Murphy",
12,"Muhammad Iqbal",
13,"Lewis Hamilton",
14,"Hayao Miyazaki",
15,"Henry Dunant",
16,"Abdullah II of Jordan",
17,"Roald Dahl",
18,"Dwayne Johnson",
19,"Wolfgang Pauli",
20,"Donatello",
21,"Eva Perón",
22,"Erich Fromm",
23,"Antoni van Leeuwenhoek",
24,"Edward Gibbon",
25,"Ferdinand de Saussure",
26,"Michael Phelps",
27,"Paracelsus",
28,"John Forbes Nash",
29,"Alphonse Daudet",
30,"Corazon Aquino",
31,"Joseph Smith",
32,"Robert Downey Jr.",
33,"Archduke Franz Ferdinand",
34,"Anne Brontë",
35,"Maurice Ravel",
36,"Bette Davis",
37,"Vivien Leigh",
38,"Julianne Moore",
39,"Christopher Nolan",
40,"Monica Bellucci",
41,"Baháʼu'lláh",
42,"Vin Diesel",
43,"Pamela Anderson",
44,"Horatio Nelson",
45,"Daniel Craig",
46,"Georges Bizet",
47,"Clara Zetkin",
48,"Hugh Jackman",
49,"Alessandro Manzoni",
50,"Ayrton Senna",
51,"Donald Tusk",
52,"Mitt Romney",
53,"Leif Erikson",
54,"Albert A. Michelson",
55,"Marquis de Sade",
56,"Sylvia Plath",
57,"Ursula K. Le Guin",
58,"Gotthold Ephraim Lessing",
59,"Eugene O'Neill",
60,"Giovanni da Palestrina",
61,"Emma Stone",
62,"Jeff Bezos",
63,"Viktor Yushchenko",
64,"Barbra Streisand",
65,"Jeremy Bentham",
66,"Bram Stoker",
67,"Władysław Reymont",
68,"Robert A. Millikan",
69,"Thomas Robert Malthus",
70,"Niccolò Paganini",
71,"Joan Miró",
72,"Tomas Tranströmer",
73,"Kanye West",
74,"Gabriele D'Annunzio",
75,"George V",
76,"Moon Jae-in",
77,"Jean-Baptiste de Lamarck",
78,"Kenzaburō Ōe",
79,"Salma Hayek",
80,"Mae West",
81,"Isadora cucan",
82,"Henry IV of France",
83,"Larry Sanger",
84,"Karim Benzema",
85,"Whoopi Goldberg",
86,"Edward VII",
87,"Rita Hayworth",
88,"John Major",
89,"Al-Biruni",
90,"D. H. Lawrence",
91,"Sandro Botticelli",
92,"Giacomo Casanova",
93,"Gianluigi Buffon",
94,"Svante August Arrhenius",
95,"Mohammad Reza Pahlavi",
96,"Stefania Turkevych-Lukiianovych",
97,"Robert Hooke",
98,"Park Geun-hye",
99,"Elie Wiesel",
100,"Mark Rutte",
101,"Jean Sibelius",
102,"Maria Theresa of Austria",
103,"Ursula von der Leyen",
104,"Larry Page",
105,"Dua Lipa",
106,"Chinua Achebe",
107,"Umm Kulthum",
108,"Gioachino Rossini",
109,"Louis XV of France",
110,"Guillaume Apollinaire",
111,"Maria Montessori",
112,"Alphonse de Lamartine",
113,"Nancy Reagan",
114,"Edgar de Wahl",
115,"Pierre-Joseph Proudhon",
116,"Dick Cheney",
117,"Madeleine Albright",
118,"Marjorie Estiano",
119,"Keira Knightley",
120,"Ben Affleck",
121,"Ray Charles",
122,"Imre Kertész",
123,"Jens Stoltenberg",
124,"Fernando Pessoa",
125,"Pablo Escobar",
126,"Jacques Offenbach",
127,"Beatrix of the Netherlands",
